renda_mensal,idade,score_credito,tempo_relacionamento,limite_credito
5993.43,67,99,1,2576.25
4723.47,53,77,1,2187.95
6295.38,35,77,3,4308.07
8046.06,22,78,9,7953.34
4531.69,63,90,4,3989.39
4531.73,39,56,12,7144.89
8158.43,31,50,10,8001.01
6534.87,49,51,11,7411.94
4061.05,65,66,3,2422.3
6085.12,49,95,5,5032.67
4073.16,29,68,13,9459.08
4068.54,22,97,8,8160.25
5483.92,69,97,13,9664.37
1500.0,45,57,14,5544.27
1550.16,45,55,6,2103.73
3875.42,46,55,7,4226.2
2974.34,67,90,4,3356.53
5628.49,51,90,10,7177.78
3183.95,34,95,7,6526.04
2175.39,31,59,12,7624.14
7931.3,57,91,0,1911.12
4548.45,33,90,7,5371.84
5135.06,38,93,8,6564.84
2150.5,44,52,3,1938.59
3911.23,31,68,8,7071.03
5221.85,61,93,7,4182.07
2698.01,19,70,10,5402.62
5751.4,24,52,7,5409.0
3798.72,36,86,7,5147.06
4416.61,39,61,13,9041.69
3796.59,35,72,13,8836.18
8704.56,46,95,14,9694.2
4973.01,41,78,9,7829.88
2884.58,25,59,14,8911.43
6645.09,52,77,0,2038.35
2558.31,52,78,1,-565.52
5417.73,60,55,6,4429.31
1500.0,53,76,1,2245.93
2343.63,55,69,5,4111.23
5393.72,27,83,10,8040.15
6476.93,67,82,12,9605.89
5342.74,66,83,11,6679.63
4768.7,59,64,9,4779.4
4397.79,49,81,4,3893.1
2042.96,53,90,14,8780.37
3560.31,47,51,4,3602.33
4078.72,32,51,10,7843.32
7114.24,33,76,12,9362.57
5687.24,55,92,0,2869.79
1500.0,40,77,1,256.05
5648.17,32,51,10,6690.84
4229.84,23,52,7,3713.58
3646.16,24,99,3,3708.25
6223.35,32,71,10,8193.17
7062.0,41,71,3,3695.51
6862.56,20,74,11,9286.06
3321.56,65,82,2,2529.53
4381.58,31,80,3,4180.28
5662.53,38,98,0,353.07
6951.09,26,77,10,6520.01
4041.65,58,50,8,4274.84
4628.68,65,67,5,3603.42
2787.33,60,96,4,787.64
2607.59,29,75,5,4812.99
6625.05,68,65,13,9350.64
7712.48,41,79,7,6999.05
4855.98,61,50,5,3051.88
7007.07,58,50,5,2782.33
5723.27,37,67,1,1556.22
3709.76,52,58,14,7033.4
5722.79,52,96,14,9912.43
8076.07,51,76,13,9262.73
4928.35,45,92,0,947.05
8129.29,66,94,2,4441.33
1500.0,22,89,12,9018.96
6643.81,65,68,2,2923.77
5174.09,64,51,14,8675.71
4401.99,35,57,13,8394.89
5183.52,26,78,2,3248.46
1500.0,23,94,12,8532.14
4560.66,24,60,5,6427.38
5714.23,64,71,4,4730.63
7955.79,18,54,9,6982.0
3963.46,47,87,9,5295.4
3383.01,39,83,9,7208.96
3996.49,50,60,8,4650.28
6830.8,53,96,6,9072.99
5657.5,66,79,12,7684.35
3940.48,22,57,2,2783.73
6026.53,64,65,7,4761.8
5194.16,44,79,13,9324.58
6937.29,67,77,5,4650.01
3595.89,62,78,0,1499.85
4344.68,37,54,8,6180.2
4215.78,51,99,8,6767.09
2072.97,53,90,8,5423.23
5592.24,38,63,14,8613.16
5522.11,32,54,5,4620.37
5010.23,35,97,4,2647.99
4530.83,66,55,11,4287.49
2169.26,39,65,9,5740.41
4158.71,56,59,13,7160.44
4314.57,67,61,14,7097.01
3395.45,23,68,2,3818.1
4677.43,62,71,8,6288.06
